HAPPY,#FFAC81,#FF8D85,#FF5447,#FFD4C2,#FFF1EB,#FFE2D6,#000000,#FFFFFF
FOREST,#606C38,#7B995A,#1F2B12,#BC6C25,#FEFAE0,#E4B580,#000000,#FFFFFF
